"","sample_name","Symbiodinium_reads","Brevolium_reads","Cladocopium_reads","Durisdinium_read","F_reads","G_reads","Symbiodinium_proportion","Brevolium_proportion","Cladocopium_proportion","Durisdinium_proportion","Sequence_count"
"272","191_2019",2296,0,0,13736,0,0,0.143213572854291,0,0,0.856786427145709,16032
"273","256_2019",383,0,0,15644,0,0,0.0238971735196855,0,0,0.976102826480314,16027
"274","48_2018",0,0,7582,8330,0,0,0,0,0.476495726495726,0.523504273504274,15912
"275","229_2018",0,0,0,15794,0,0,0,0,0,1,15794
"276","121_2018",0,0,0,15713,0,0,0,0,0,1,15713
"277","583b_2016b",0,0,2100,13599,0,0,0,0,0.133766481941525,0.866233518058475,15699
"278","783_2016b",0,0,0,15679,0,0,0,0,0,1,15679
"279","410_893_2015c",0,0,6791,8751,0,0,0,0,0.436945052116845,0.563054947883155,15542
"280","439_2015b",0,0,0,15429,0,0,0,0,0,1,15429
"281","1034_2016b",0,0,0,15392,0,0,0,0,0,1,15392
"282","656_1075_2016b",0,0,8786,6482,0,0,0,0,0.575451925596018,0.424548074403982,15268
"283","597_2015a",0,0,15164,0,0,0,0,0,1,0,15164
"284","1008_2017",8848,0,0,6306,0,0,0.583872244951828,0,0,0.416127755048172,15154
"285","26_2019",1397,0,0,13694,0,0,0.0925717314955934,0,0,0.907428268504407,15091
"286","820_2016b",3121,0,0,11888,0,0,0.207941901525751,0,0,0.792058098474249,15009
"287","116_2018",331,0,5877,8785,0,0,0.0220769692523177,0,0.39198292536517,0.585940105382512,14993
"288","19_2019",0,0,0,14986,0,0,0,0,0,1,14986
"289","1032_2017",0,0,309,14673,0,0,0,0,0.0206247496996396,0.97937525030036,14982
"290","290_2014",0,0,14887,0,0,0,0,0,1,0,14887
"291","612_2016b",0,0,0,14886,0,0,0,0,0,1,14886
"292","612_2015c",0,0,14879,0,0,0,0,0,1,0,14879
"293","919_2016b",1041,0,0,13828,0,0,0.0700114331831327,0,0,0.929988566816867,14869
"294","909_2016b",386,0,0,14403,0,0,0.0261004800865508,0,0,0.973899519913449,14789
"295","902_2016b",0,0,0,14789,0,0,0,0,0,1,14789
"296","727_2015b",0,0,14778,0,0,0,0,0,1,0,14778
"297","1023_2016b",0,0,0,14710,0,0,0,0,0,1,14710
"298","75_2018",0,0,1807,12889,0,0,0,0,0.122958628198149,0.877041371801851,14696
"299","157_2018",316,0,0,14344,0,0,0.0215552523874488,0,0,0.978444747612551,14660
"300","742_2015c",0,0,561,14048,0,0,0,0,0.0384009856937504,0.96159901430625,14609
"301","73_2018",0,0,14609,0,0,0,0,0,1,0,14609
"302","148_2018",614,0,0,13952,0,0,0.0421529589454895,0,0,0.95784704105451,14566
"303","786_2015c",0,0,14563,0,0,0,0,0,1,0,14563
"304","685_2015b",0,0,0,14552,0,0,0,0,0,1,14552
"305","11_2018",0,0,0,14536,0,0,0,0,0,1,14536
"306","207_2018",0,0,0,14523,0,0,0,0,0,1,14523
"307","1037_2016b",0,0,0,14519,0,0,0,0,0,1,14519
"308","1068_2017",11124,0,0,3309,0,0,0.770733735190189,0,0,0.229266264809811,14433
"309","736_2015b",0,0,644,13773,0,0,0,0,0.0446694874106957,0.955330512589304,14417
"310","402_2015c",0,0,14321,0,0,0,0,0,1,0,14321
"311","111_2018",937,0,0,13349,0,0,0.0655886882262355,0,0,0.934411311773765,14286
"312","479_2014",0,0,583,13508,0,0,0,0,0.0413739266198283,0.958626073380172,14091
"313","1229_2017",491,0,0,13550,0,0,0.0349690193006196,0,0,0.96503098069938,14041
"314","8_2019",0,0,3292,10735,0,0,0,0,0.234690240250945,0.765309759749055,14027
"315","1011_2016b",0,0,0,13965,0,0,0,0,0,1,13965
"316","1_2019",0,0,0,13919,0,0,0,0,0,1,13919
"317","4_2014",0,0,13889,0,0,0,0,0,1,0,13889
"318","487_2015b",0,0,767,12949,0,0,0,0,0.0559200933216681,0.944079906678332,13716
"319","906_2016b",420,0,642,12571,0,0,0.0308075992078046,0,0.0470916159319299,0.922100784860266,13633
"320","497_745_2016a",0,0,0,13500,0,0,0,0,0,1,13500
"321","1028_2017",5229,0,0,8264,0,0,0.387534277032535,0,0,0.612465722967465,13493
"322","729_2016b",0,0,220,13201,0,0,0,0,0.0163922211459653,0.983607778854035,13421
"323","18_2018",0,0,0,13419,0,0,0,0,0,1,13419
"324","181_2018",0,0,0,13397,0,0,0,0,0,1,13397
"325","22_2019",0,0,0,13392,0,0,0,0,0,1,13392
"326","588_1227_2016b",0,0,4926,8423,0,0,0,0,0.369016405723275,0.630983594276725,13349
"327","594_2016b",0,0,13343,0,0,0,0,0,1,0,13343
"328","262_2019",0,0,0,13314,0,0,0,0,0,1,13314
"329","770_2016a",0,0,0,13291,0,0,0,0,0,1,13291
"330","203_2018",2305,0,0,10979,0,0,0.173517012947907,0,0,0.826482987052093,13284
"331","500_2016b",0,0,0,13272,0,0,0,0,0,1,13272
"332","197_2018",0,0,448,12766,0,0,0,0,0.0339034357499622,0.966096564250038,13214
"333","6_2019",0,0,13210,0,0,0,0,0,1,0,13210
"334","386_2016a",0,0,0,13194,0,0,0,0,0,1,13194
"335","300_2019",1241,0,0,11932,0,0,0.0942078493889015,0,0,0.905792150611098,13173
"336","223_2015c",0,0,13160,0,0,0,0,0,1,0,13160
"337","1009_2016b",0,0,0,13158,0,0,0,0,0,1,13158
"338","164_1143_2014",6198,0,164,6778,0,0,0.471689497716895,0,0.0124809741248097,0.515829528158295,13140
"339","235_2018",1169,0,0,11938,0,0,0.0891889829861906,0,0,0.910811017013809,13107
"340","618_2016b",0,0,182,12922,0,0,0,0,0.0138888888888889,0.986111111111111,13104
