SampleID	coral_tag	SampleType	field_season	Coral_Species	site	Status	ref	Year_Pre_Post	colony_width1	colony_width2	colony_area	binary_tissue_loss	binary_disease	cyanobacteria_contact	binary_algal_contact	turf_contact	binary_macroalgae_contact	type_of_macroalgae	binary_CCA_contact	sediment_contact	binary_coral_contact	binary_bleaching	bleaching_proportion	notes_bleaching
113	KI14FSYM470	470	coral	KI2014	Platygyra_sp	27	gone	2014.tag.470	2014	12.296	9.617	96.513	n	n	n	y	y	n	NONE	n	y	n	y	1	a few small patches where ridges are bleaching 
114	KI15aFSYM150	470	coral	KI2015a	Platygyra_sp	27	gone	2015Jan_Post.tag.470	2015Jan_Post	11.822	8.726	87.804	n	n	n	y	y	n	NONE	n	y	n	y	1	patches where ridges are bleaching on top of coral 
115	KI15bFSYM138	470	coral	KI2015b	Platygyra_sp	27	gone	2015May.tag.470	2015May	10.455	8.053	65.825	n	n	n	y	y	n	NONE	y	y	y	y	2	many small areas are bleached or starting to
116	KI15cFSYM072	470	coral	KI2015c	Platygyra_sp	27	gone	2015July.tag.470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
117	KI14FSYM473	473	coral	KI2014	Favites_pentagona	27	UK	2014.tag.473	2014	11.44	7.757	69.683	n	n	n	y	y	n	NONE	n	y	y	n	NONE	
118	KI14FSYM479	479	coral	KI2014	Platygyra_sp	32	UK	2014.tag.479	2014	30.199	28.227	646.765	n	n	n	y	y	n	NONE	n	y	n	y	1	a few bleached patches
119	KI14FSYM482	482	coral	KI2014	Favites_pentagona	32	alive	2014.tag.482	2014	21.915	20.317	353.06	n	n	n	n	n	n	NONE	n	y	n	y	2	most of coral is starting to bleach, one side of coral is more severe, middle parts still dark (F. pentagona)
120	KI15bFSYM216	482	coral	KI2015b	Favites_pentagona	32	alive	2015May.tag.482	2015May	18.487	16.179	212.399	n	n	n	y	y	n	NONE	n	y	n	n	NONE	
121	KI15cFSYM432	482	coral	KI2015c	Favites_pentagona	32	alive	2015July.tag.482	2015July	24.461	20.293	374.857	n	y	n	n	n	n	NONE	n	y	n	y	3	Most of coral bleached
122	KI16aFSYM010	482	coral	KI2016a	Favites_pentagona	32	alive	2016March.tag.482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
123	KI14FSYM486	486	coral	KI2014	Platygyra_sp	32	UK	2014.tag.486	2014	13.056	12.194	122.691	n	n	n	y	y	n	NONE	n	y	n	y	2	entire coral bleaching, sides of the ridges are still dark (Platygyra) 
124	KI15bFSYM188	486	coral	KI2015b	Platygyra_sp	32	UK	2015May.tag.486	2015May	12.23	11.642	102.076	n	n	n	y	y	n	NONE	n	y	n	y	1	one bleached patch and most of coral is paling
125	KI14FSYM487	487	coral	KI2014	Favites_pentagona	32	UK	2014.tag.487	2014	14.791	13.296	138.286	n	n	n	y	y	n	NONE	n	y	y	y	2	a large portion of the coral is bleaching/almost white, middle parts are still dark (F. pentagona) - IMG_4492 is zoomed in and you can see the coral is bleaching on the sides and it is not just light
126	KI15bFSYM187	487	coral	KI2015b	Favites_pentagona	32	UK	2015May.tag.487	2015May	13.654	12.412	114.559	n	n	n	y	y	n	NONE	y	y	y	y	1	a few bleaching/paling ridges
127	KI15cFSYM434	487	coral	KI2015c	Favites_pentagona	32	UK	2015July.tag.487	2015July	16.625	14.149	189.963	n	n	n	y	y	n	NONE	n	y	y	y	1	Few small lighter spots
