"","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","ref","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","C.reps","D.reps","PaxC.reps","C.PaxC","D.PaxC","fail","S.H","Sample.Num","Pre.Post","dom","S.H.log","C.PaxC.log","D.PaxC.log","CtoD","S.H.log10","C.PaxC.log10","D.PaxC.log10","bleaching2Plus"
"348","KI17aFL224","857","coral","KI2017a","Platygyra_sp","34","alive","KI2017a.tag857","recovery2","NO","14-09-2017","23.98","13.489","316.138","n","n","n","y","y","y","peysson_brown, peysson_red","y","y","n","y","FALSE","Several small spots of bleaching","","KI2017a","KI17aFMD224","KIPlaty_plate9_data.txt",36.04025,23.8275,18.225,1.59148523241656,0.141987041662259,0.293449314192419,2,2,2,1.0474331329314e-06,0.0248599580517471,FALSE,0.02486100548488,224,NA,"D",-3.69445474782529,-13.7124942351425,-3.69449442346636,3.71160236378886,-1.60448131062179,-5.95526057945253,-1.60449854153377,"FALSE"
"350","KI17aFL104","906","coral","KI2017a","Platygyra_sp","8","alive","KI2017a.tag906","recovery2","NO","8/9/2017","27.726","13.428","375.092","n","n","n","y","y","y","Caulerpa","y","n","n","y","FALSE","large areas bleaching; DC edited 2 to 1","","KI2017a","KI17aFMD104","KIPlaty_plate9_data.txt",36.8524,22.7876,18.27485,NA,0.109035865658965,0.112642110243018,1,2,2,0,0.0529112265633005,FALSE,0.0529112265633005,104,NA,"D",-2.93913974026524,-16.6111407886174,-2.93913858594811,5.65170382507124,-1.27645217073975,-7.21412678261458,-1.27645166942619,"FALSE"
"351","KI17aFL110","909","coral","KI2017a","Platygyra_sp","8","alive","KI2017a.tag909","recovery2","NO","8/9/2017","18.76","16.003","222.155","n","n","n","y","y","y","peysson_brown, peysson_RED","y","y","n","y","FALSE","3cm scale used, bleaching around one hole","","KI2017a","KI17aFMD110","KIPlaty_plate8_data.txt",32.4762,23.29315,17.79105,5.43468129884357,0.138946482503157,0.204000306372321,2,2,2,9.17023144884764e-06,0.0266516316966812,FALSE,0.02666080192813,110,NA,"D",-3.62456088485913,-11.5929098273041,-3.62490261169891,3.19813001041447,-1.57412679161669,-5.03473676720013,-1.57427520169752,"FALSE"
"352","KI17aFL121","919","coral","KI2017a","Platygyra_sp","8","alive","KI2017a.tag919","recovery2","NO","8/9/2017","20.152","19.944","175.215","n","n","n","y","y","y","Caulerpa","y","y","n","y","3","all pale","","KI2017a","KI17aFMD121","KIPlaty_plate10_data.txt",38.6864,23.58065,17.169,NA,0.087610530189015,0.306742921678723,1,2,2,0,0.0141880258312673,FALSE,0.0141880258312673,121,NA,"D",-4.25535692143052,-16.6111407886174,-4.25535261665695,3.90358738394453,-1.84807802950608,-7.21412678261458,-1.84807615996668,"3"
"353","KI17aFL008","925","coral","KI2017a","Platygyra_sp","35","alive","KI2017a.tag925","recovery2","NO","21-09-2017","34.088","32.276","861.982","n","n","n","y","y","y","Caulerpa, Peysson_red, Peysson_Yellow","y","y","n","y","FALSE","one small patch","","KI2017a","KI17aFMD008","KIPlaty_plate3_data.txt",29.15235,23.5169,19.2698,0.0248194480196478,0.51406662992262,0.199686955007083,2,2,2,0.000255921607042627,0.0636086894275338,FALSE,0.0638646110345764,8,NA,"D",-2.75098988893769,-8.27040075869202,-2.75500423156085,3.0019557371084,-1.19473972853728,-3.59178941262841,-1.19648313538699,"FALSE"
"355","KI17aFL074","1005","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1005","recovery2","NO","21-09-2017","25.38","18.391","283.31","n","n","n","y","y","y","Peysson_red, peysson_yellow","y","y","n","y","FALSE","small spots of bleaching","","KI2017a","KI17aFMD074","KIPlaty_plate10_data.txt",NA,22.8813,18.6217,NA,0.0588312841947193,0.0472347329832618,0,2,2,0,0.0630599428272278,FALSE,0.0630599428272278,74,NA,"D",-2.76366953150649,-16.6111407886174,-2.76366856296231,6.01054012454096,-1.20024642733741,-7.21412678261458,-1.20024600670402,"FALSE"
"356","KI17aFL078","1011","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1011","recovery2","NO","21-09-2017","20.503","17.732","284.662","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","one spot of bleaching","","KI2017a","KI17aFMD078","KIPlaty_plate9_data.txt",29.11565,23.66515,18.06435,0.298045508270129,0.357301056533561,0.158604051020142,2,2,2,0.000113835612011699,0.0248892690543836,FALSE,0.0250031046663953,78,NA,"D",-3.68875527516865,-9.08021876272136,-3.69331607615268,2.45855447394586,-1.60200606109726,-3.94348890312426,-1.60398679179768,"FALSE"
"357","KI17aFL079","1013","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1013","recovery2","NO","21-09-2017","22.912","22.124","386.699","n","n","n","y","y","n","NONE","y","y","n","n","FALSE","","","KI2017a","KI17aFMD079","KIPlaty_plate6_data.txt",38.7883,24.6907,16.8009,NA,0.00735391052434054,0.140148564031174,1,2,2,0,0.00509277491833366,FALSE,0.00509277491833366,79,NA,"D",-5.2799324263752,-16.6111407886174,-5.27992043369837,3.14609680149706,-2.2930455175968,-7.21412678261458,-2.29304030924343,"FALSE"
"358","KI17aFL084","1017","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1017","recovery2","NO","21-09-2017","22.484","19.186","312.789","n","n","n","y","y","y","Halimeda","y","y","y","y","FALSE","three small areas of bleaching","","KI2017a","KI17aFMD084","KIPlaty_plate6_data.txt",NA,24.05245,18.69805,NA,0.0574877813104655,0.182221417511773,0,2,2,0,0.0295247299099365,FALSE,0.0295247299099365,84,NA,"D",-3.52252706478352,-16.6111407886174,-3.52252499613439,4.71569138809418,-1.52981406659034,-7.21412678261458,-1.52981316818744,"FALSE"
"359","KI17aFL085","1020","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1020","recovery2","NO","21-09-2017","32.066","27.194","600.129","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","several small areas of bleaching and lightening","","KI2017a","KI17aFMD085","KIPlaty_plate7_data.txt",NA,23.0128,18.57875,NA,0.0562856997824511,0.321945717474236,0,2,2,0,0.0558777473794517,FALSE,0.0558777473794517,85,NA,"D",-2.88458905715517,-16.6111407886174,-2.88458796412012,5.75858354650118,-1.25276111008099,-7.21412678261458,-1.2527606353819,"FALSE"
"360","KI17aFL089","1022","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1022","recovery2","NO","21-09-2017","16.51","14.973","186.128","n","n","n","y","y","y","Caulerpa","y","y","n","y","FALSE","several small areas of bleaching and lightening","","KI2017a","KI17aFMD089","KIPlaty_plate7_data.txt",37.34875,24.5741,18.18205,1.7576553259954,0.120490995514188,0.767705832334237,2,2,2,4.10486917076034e-07,0.0143820951747861,FALSE,0.0143825056617032,89,NA,"D",-4.24174269557467,-14.5672125189046,-4.24176699000568,3.43423213798104,-1.84216544634151,-6.32646001367223,-1.84217599727883,"FALSE"
"361","KI17aFL087","1023","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1023","recovery2","NO","21-09-2017","24.497","17.609","333.967","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","several small areas of bleaching and lightening","","KI2017a","KI17aFMD087","KIPlaty_plate6_data.txt",31.522,25.57585,19.1586,0.49511616818682,0.49674251378355,0.556068772725101,2,2,2,4.58454974530467e-05,0.0141330599940689,FALSE,0.0141789054915219,87,NA,"D",-4.25599994763281,-9.98890223060718,-4.25923422412614,2.3452343085585,-1.84835729223746,-4.33812511902378,-1.84976192067146,"FALSE"
"362","KI17aFL088","1024","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1024","recovery2","NO","21-09-2017","25.152","14.657","246.983","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","one spot of bleaching","","KI2017a","KI17aFMD088","KIPlaty_plate6_data.txt",NA,22.5836,18.26535,NA,0.027011479041326,0.0550836182544318,0,2,2,0,0.0605477715186473,FALSE,0.0605477715186473,88,NA,"D",-2.80432261364633,-16.6111407886174,-2.80432160491656,5.92340791423303,-1.2179018365831,-7.21412678261458,-1.21790139849733,"FALSE"
"363","KI17aFL095","1028","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1028","recovery2","NO","21-09-2017","22.604","19.348","319.293","n","n","y","y","y","n","NONE","y","y","n","y","FALSE","3cm scale used, small spots of bleaching","","KI2017a","KI17aFMD095","KIPlaty_plate5_data.txt",33.075,24.30155,18.2689,4.92627152317044,0.0299106168441916,0.257386868351904,2,2,2,8.43277900479442e-06,0.0184506783912469,FALSE,0.0184591111702517,95,NA,"D",-3.99219720002374,-11.6761675529671,-3.99265082975313,2.92441489397385,-1.73378921463992,-5.07089513803141,-1.73398622352823,"FALSE"
"364","KI17aFL099","1031","coral","KI2017a","Platygyra_sp","37","alive","KI2017a.tag1031","recovery2","NO","21-09-2017","25.269","24.632","446.367","n","n","y","y","y","n","NONE","y","y","n","y","FALSE","small spots of bleaching","","KI2017a","KI17aFMD099","KIPlaty_plate7_data.txt",37.1903,22.6814,18.2751,NA,0.00537401153701529,0.857437682866806,1,2,2,0,0.056962949976904,FALSE,0.056962949976904,99,NA,"D",-2.86535422289463,-16.6111407886174,-2.865353150683,5.79724031038125,-1.24440752770132,-7.21412678261458,-1.24440706204573,"FALSE"
"365","KI17aFL270","1036","coral","KI2017a","Platygyra_sp","40","alive","KI2017a.tag1036","recovery2","NO","25-09-2017","20.233","18.328","314.526","n","n","n","y","y","y","Halimeda, Peysson_yellow","y","y","n","y","FALSE","several areas of bleaching","","KI2017a","KI17aFMD270","KIPlaty_plate6_data.txt",NA,23.61605,17.5053,NA,0.390676496605566,0.381130555059548,0,2,2,0,0.0174784089371436,FALSE,0.0174784089371436,270,NA,"D",-4.04678893480003,-16.6111407886174,-4.04678544041656,4.10477427904049,-1.75749810381079,-7.21412678261458,-1.75749658621933,"FALSE"
"366","KI17aFL280","1049","coral","KI2017a","Platygyra_sp","40","alive","KI2017a.tag1049","recovery2","NO","25-09-2017","26.319","19.943","403.784","n","n","n","y","y","y","Peysson_red, peysson_yellow","y","y","n","n","FALSE","","","KI2017a","KI17aFMD280","KIPlaty_plate10_data.txt",NA,24.47775,17.19175,NA,0.0355674710936833,0.498580991414633,0,2,2,0,0.00773956218091928,FALSE,0.00773956218091928,280,NA,"D",-4.86141015875311,-16.6111407886174,-4.86140226733398,3.41694430436983,-2.11128360621489,-7.21412678261458,-2.11128017901511,"FALSE"
"367","KI15cFMD501","783","coral","KI2015c","Platygyra_sp","34","alive","KI2015c.tag783","during","JL","16-12-2015","20.845","18.162","325.976","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","many patches <5cm *CCA","","KI2015c","KI15cFMD501","KIPlaty_plate8_data.txt",24.34525,26.7144,17.5886,0.101611244456509,0.00155563491860929,0.145805418280668,2,2,2,0.00223406918174533,0.00216212803357787,FALSE,0.00439619721532319,501,NA,"C",-5.42701538099864,-6.10390327291078,-6.13663409367926,0.994666323546618,-2.35692283317179,-2.65089150949635,-2.66510632434426,"FALSE"
