#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site
KI15bFSYM296	KI15bFSYM296_MERGED-MAX-MISMATCH-3	800	coral	2015May	296	Favites_pentagona	5
KI15bFSYM303	KI15bFSYM303_MERGED-MAX-MISMATCH-3	807	coral	2015May	303	Platygyra_sp	5
KI15bFSYM306	KI15bFSYM306_MERGED-MAX-MISMATCH-3	810	coral	2015May	306	Favites_pentagona	5
KI15bFSYM309	KI15bFSYM309_MERGED-MAX-MISMATCH-3	813	coral	2015May	309	Platygyra_sp	5
KI15bFSYM313	KI15bFSYM313_MERGED-MAX-MISMATCH-3	817	coral	2015May	313	Favia_sp	5
KI15bFSYM316	KI15bFSYM316_MERGED-MAX-MISMATCH-3	820	coral	2015May	316	Platygyra_sp	5
KI15bFSYM320	KI15bFSYM320_MERGED-MAX-MISMATCH-3	824	coral	2015May	320	Platygyra_sp	5
KI15bFSYM340	KI15bFSYM340_MERGED-MAX-MISMATCH-3	844	coral	2015May	340	Favites_pentagona	34
KI15bFSYM346	KI15bFSYM346_MERGED-MAX-MISMATCH-3	850	coral	2015May	346	Platygyra_sp	34
KI15bFSYM352	KI15bFSYM352_MERGED-MAX-MISMATCH-3	856	coral	2015May	352	Favites_pentagona	34
KI15bFSYM353	KI15bFSYM353_MERGED-MAX-MISMATCH-3	857	coral	2015May	353	Platygyra_sp	34
KI15cFSYM003	KI15cFSYM003_MERGED-MAX-MISMATCH-3	4	coral	2015July	3	Favites_pentagona	35
KI15cFSYM014	KI15cFSYM014_MERGED-MAX-MISMATCH-3	89	coral	2015July	14	Favia_matthai	35
KI15cFSYM018	KI15cFSYM018_MERGED-MAX-MISMATCH-3	99	coral	2015July	18	Platygyra_sp	35
KI15cFSYM025	KI15cFSYM025_MERGED-MAX-MISMATCH-3	656	coral	2015July	25	Favites_pentagona	19
KI15cFSYM063	KI15cFSYM063_MERGED-MAX-MISMATCH-3	736	coral	2015July	63	Favites_pentagona	27
KI15cFSYM064	KI15cFSYM064_MERGED-MAX-MISMATCH-3	466	coral	2015July	64	Platygyra_sp	27
KI15cFSYM065	KI15cFSYM065_MERGED-MAX-MISMATCH-3	735	coral	2015July	65	Platygyra_sp	27
KI15cFSYM072	KI15cFSYM072_MERGED-MAX-MISMATCH-3	470	coral	2015July	72	Platygyra_sp	27
KI15cFSYM077	KI15cFSYM077_MERGED-MAX-MISMATCH-3	722	coral	2015July	77	Favites_pentagona	27
KI15cFSYM082	KI15cFSYM082_MERGED-MAX-MISMATCH-3	726	coral	2015July	82	Favites_pentagona	27
KI15cFSYM083	KI15cFSYM083_MERGED-MAX-MISMATCH-3	727	coral	2015July	83	Platygyra_sp	27
KI15cFSYM090	KI15cFSYM090_MERGED-MAX-MISMATCH-3	271	coral	2015July	90	Favites_pentagona	27
KI15cFSYM094	KI15cFSYM094_MERGED-MAX-MISMATCH-3	729	coral	2015July	94	Favites_pentagona	27
KI15cFSYM101	KI15cFSYM101_MERGED-MAX-MISMATCH-3	583	coral	2015July	101	Favites_pentagona	15
KI15cFSYM104	KI15cFSYM104_MERGED-MAX-MISMATCH-3	588	coral	2015July	104	Favites_pentagona	15
KI15cFSYM112	KI15cFSYM112_MERGED-MAX-MISMATCH-3	592	coral	2015July	112	Favites_pentagona	15
KI15cFSYM114	KI15cFSYM114_MERGED-MAX-MISMATCH-3	594	coral	2015July	114	Platygyra_sp	15
KI15cFSYM116	KI15cFSYM116_MERGED-MAX-MISMATCH-3	597	coral	2015July	116	Favites_pentagona	15
KI15cFSYM125	KI15cFSYM125_MERGED-MAX-MISMATCH-3	605	coral	2015July	125	Favites_pentagona	15
KI15cFSYM126	KI15cFSYM126_MERGED-MAX-MISMATCH-3	612	coral	2015July	126	Platygyra_sp	15
KI15cFSYM129	KI15cFSYM129_MERGED-MAX-MISMATCH-3	618	coral	2015July	129	Platygyra_sp	15
KI15cFSYM142	KI15cFSYM142_MERGED-MAX-MISMATCH-3	628	coral	2015July	142	Favites_pentagona	15
KI15cFSYM144	KI15cFSYM144_MERGED-MAX-MISMATCH-3	631	coral	2015July	144	Favites_pentagona	15
KI15cFSYM145	KI15cFSYM145_MERGED-MAX-MISMATCH-3	623	coral	2015July	145	Favites_pentagona	15
KI15cFSYM159	KI15cFSYM159_MERGED-MAX-MISMATCH-3	161	coral	2015July	159	Platygyra_sp	3
KI15cFSYM161	KI15cFSYM161_MERGED-MAX-MISMATCH-3	157	coral	2015July	161	Platygyra_sp	3
KI15cFSYM171	KI15cFSYM171_MERGED-MAX-MISMATCH-3	223	coral	2015July	171	Platygyra_sp	3
KI15cFSYM178	KI15cFSYM178_MERGED-MAX-MISMATCH-3	231	coral	2015July	178	Favites_pentagona	3
KI15cFSYM180	KI15cFSYM180_MERGED-MAX-MISMATCH-3	234	coral	2015July	180	Platygyra_sp	3
KI15cFSYM190	KI15cFSYM190_MERGED-MAX-MISMATCH-3	29	coral	2015July	190	Favites_halicora	38
KI15cFSYM200	KI15cFSYM200_MERGED-MAX-MISMATCH-3	192	coral	2015July	200	Favites_pentagona	38
KI15cFSYM209	KI15cFSYM209_MERGED-MAX-MISMATCH-3	205	coral	2015July	209	Favites_pentagona	38
KI15cFSYM216	KI15cFSYM216_MERGED-MAX-MISMATCH-3	213	coral	2015July	216	Favites_pentagona	38
KI15cFSYM225	KI15cFSYM225_MERGED-MAX-MISMATCH-3	100_638	coral	2015July	225	Favia_matthai	35
KI15cFSYM252	KI15cFSYM252_MERGED-MAX-MISMATCH-3	787	coral	2015July	252	Favia_sp	5
KI15cFSYM253	KI15cFSYM253_MERGED-MAX-MISMATCH-3	788	coral	2015July	253	Platygyra_sp	5
KI15cFSYM254	KI15cFSYM254_MERGED-MAX-MISMATCH-3	792	coral	2015July	254	Platygyra_sp	5
KI15cFSYM261	KI15cFSYM261_MERGED-MAX-MISMATCH-3	797	coral	2015July	261	Platygyra_sp	5
KI15cFSYM265	KI15cFSYM265_MERGED-MAX-MISMATCH-3	800	coral	2015July	265	Favites_pentagona	5
KI15cFSYM273	KI15cFSYM273_MERGED-MAX-MISMATCH-3	807	coral	2015July	273	Platygyra_sp	5
KI15cFSYM275	KI15cFSYM275_MERGED-MAX-MISMATCH-3	810	coral	2015July	275	Favites_pentagona	5
KI15cFSYM276	KI15cFSYM276_MERGED-MAX-MISMATCH-3	817	coral	2015July	276	Favia_sp	5
KI15cFSYM277	KI15cFSYM277_MERGED-MAX-MISMATCH-3	813	coral	2015July	277	Platygyra_sp	5
KI15cFSYM278	KI15cFSYM278_MERGED-MAX-MISMATCH-3	820	coral	2015July	278	Platygyra_sp	5
KI15cFSYM283	KI15cFSYM283_MERGED-MAX-MISMATCH-3	824	coral	2015July	283	Platygyra_sp	5
KI15cFSYM317	KI15cFSYM317_MERGED-MAX-MISMATCH-3	127	coral	2015July	317	Favia_sp	30
KI15cFSYM328	KI15cFSYM328_MERGED-MAX-MISMATCH-3	146	coral	2015July	328	Favia_matthai	30
KI15cFSYM336	KI15cFSYM336_MERGED-MAX-MISMATCH-3	386	coral	2015July	336	Favites_pentagona	30
KI15cFSYM338	KI15cFSYM338_MERGED-MAX-MISMATCH-3	388	coral	2015July	338	Favia_sp	30
KI15cFSYM345	KI15cFSYM345_MERGED-MAX-MISMATCH-3	435	coral	2015July	345	Favites_pentagona	30
KI15cFSYM348	KI15cFSYM348_MERGED-MAX-MISMATCH-3	442	coral	2015July	348	Platygyra_sp	30
KI15cFSYM350	KI15cFSYM350_MERGED-MAX-MISMATCH-3	439	coral	2015July	350	Favites_pentagona	30
KI15cFSYM365	KI15cFSYM365_MERGED-MAX-MISMATCH-3	253	coral	2015July	365	Platygyra_sp	8
KI15cFSYM372	KI15cFSYM372_MERGED-MAX-MISMATCH-3	62	coral	2015July	372	Platygyra_sp	8
KI15cFSYM373	KI15cFSYM373_MERGED-MAX-MISMATCH-3	719	coral	2015July	373	Favites_pentagona	8
KI15cFSYM385	KI15cFSYM385_MERGED-MAX-MISMATCH-3	696	coral	2015July	385	Platygyra_sp	8
KI15cFSYM399	KI15cFSYM399_MERGED-MAX-MISMATCH-3	373	coral	2015July	399	Favites_pentagona	25
KI15cFSYM404	KI15cFSYM404_MERGED-MAX-MISMATCH-3	379	coral	2015July	404	Platygyra_sp	25
KI15cFSYM411	KI15cFSYM411_MERGED-MAX-MISMATCH-3	400	coral	2015July	411	Favites_pentagona	25
KI15cFSYM415	KI15cFSYM415_MERGED-MAX-MISMATCH-3	402	coral	2015July	415	Platygyra_sp	25
KI15cFSYM427	KI15cFSYM427_MERGED-MAX-MISMATCH-3	412_892	coral	2015July	427	Favites_pentagona	25
KI15cFSYM428	KI15cFSYM428_MERGED-MAX-MISMATCH-3	410_893	coral	2015July	428	Platygyra_sp	25
KI15cFSYM432	KI15cFSYM432_MERGED-MAX-MISMATCH-3	482	coral	2015July	432	Favites_pentagona	32
KI15cFSYM434	KI15cFSYM434_MERGED-MAX-MISMATCH-3	487	coral	2015July	434	Favites_pentagona	32
KI15cFSYM435	KI15cFSYM435_MERGED-MAX-MISMATCH-3	741	coral	2015July	435	Favia_sp	32
KI15cFSYM436	KI15cFSYM436_MERGED-MAX-MISMATCH-3	742	coral	2015July	436	Platygyra_sp	32
