"","Coral_Tag","Coral_Tag_All","SampleType","Coral_Species","Site","Tube_label.2014","Tube_label.2015Jan","Tube_label.2015May","Tube_label.2015July","Tube_label.2016March","Tube_label.2016Nov","Tube_label.2017","status","before","during","after","recovery"
"311","429","429","coral","Hydnophora microconos",30,"KI14FSYM429",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"312","431","431","coral","Favia sp",30,"KI14FSYM431",NA,"KI15bFSYM061","KI15cFSYM342",NA,NA,NA,"dead","Yes","Yes","No","No"
"315","433","433","coral","Hydnophora microconos",30,"KI14FSYM433",NA,NA,NA,NA,NA,NA,"gone_after","Yes","No","No","No"
"316","435","435","coral","Favites pentagona",30,"KI14FSYM435",NA,"KI15bFSYM065","KI15cFSYM345",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"319","439","439","coral","Favites pentagona",30,"KI14FSYM439",NA,"KI15bFSYM068","KI15cFSYM350","KI16aFSYM086","KI16bFSYM126",NA,"alive","Yes","Yes","Yes","Yes"
"324","442","442","coral","Platygyra sp",30,"KI14FSYM442",NA,"KI15bFSYM069","KI15cFSYM348",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"327","444","444","coral","Hydnophora microconos",30,"KI14FSYM444",NA,NA,NA,NA,NA,NA,"gone_after","Yes","No","No","No"
"328","447","447","coral","Platygyra sp",27,"KI14FSYM447",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"329","449","449","coral","Favites pentagona",27,"KI14FSYM449",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"330","454","454","coral","Favites pentagona",27,"KI14FSYM454",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"331","455","455","coral","Platygyra sp",27,"KI14FSYM455","KI15aFSYM160",NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"333","457","457","coral","Hydnophora microconos",27,"KI14FSYM457",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"334","461","461","coral","Platygyra sp",27,"KI14FSYM461",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"335","465","465","coral","Favites halicora",27,"KI14FSYM465",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"336","466","466","coral","Platygyra sp",27,"KI14FSYM466","KI15aFSYM156","KI15bFSYM140","KI15cFSYM064",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"340","470","470","coral","Platygyra sp",27,"KI14FSYM470","KI15aFSYM150","KI15bFSYM138","KI15cFSYM072",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"344","473","473","coral","Favites pentagona",27,"KI14FSYM473",NA,NA,NA,NA,NA,NA,"gone_before","Yes","No","No","No"
"345","478","478","coral","Favia matthaii",32,"KI14FSYM478",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"346","479","479","coral","Platygyra sp",32,"KI14FSYM479",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"347","482","482","coral","Favites pentagona",32,"KI14FSYM482",NA,"KI15bFSYM216","KI15cFSYM432","KI16aFSYM010","KI16bFSYM017",NA,"alive","Yes","Yes","Yes","Yes"
"353","483","483","coral","Hydnophora microconos",32,"KI14FSYM483",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"354","486","486","coral","Platygyra sp",32,"KI14FSYM486",NA,"KI15bFSYM188",NA,NA,NA,NA,"UK","Yes","No","No","No"
"356","487","487","coral","Favites pentagona",32,"KI14FSYM487",NA,"KI15bFSYM187","KI15cFSYM434",NA,NA,NA,"dead","Yes","Yes","No","No"
"359","492","492","coral","Favites pentagona",32,"KI14FSYM492",NA,"KI15bFSYM191","KI15cFSYM439",NA,NA,NA,"dead","Yes","Yes","No","No"
"362","493","493","coral","Favia matthaii",32,"KI14FSYM493",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"363","497","497_745","coral","Favites pentagona",32,"KI14FSYM497",NA,"KI15bFSYM194",NA,"KI16aFSYM006","KI16bFSYM019","KI17FSYM217","alive","Yes","No","Yes","Yes"
"368","500","500","coral","Favites sp",32,"KI14FSYM500",NA,NA,"KI15cFSYM455","KI16aFSYM011","KI16bFSYM021","KI17FSYM208","alive","Yes","Yes","Yes","Yes"
"373","504","504","coral","Platygyra sp",14,"KI14FSYM504",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"374","575","575","coral","Favia sp",35,NA,"KI15aFSYM014","KI15bFSYM015",NA,"KI16aFSYM043",NA,NA,"gone_before","Yes","No","Yes","No"
"377","577","577","coral","Hydnophora microconos",15,NA,"KI15aFSYM026","KI15bFSYM075","KI15cFSYM096",NA,NA,"KI17FSYM303","alive","Yes","Yes","No","Yes"
"382","581","581","coral","Favia matthaii",15,NA,"KI15aFSYM30","KI15bFSYM078","KI15cFSYM100",NA,NA,NA,"alive","Yes","Yes","No","No"
"385","583","583","coral","Favites pentagona",15,NA,"KI15aFSYM032","KI15bFSYM080","KI15cFSYM101","KI16aFSYM151",NA,NA,"alive","Yes","Yes","Yes","No"
"389","587","587_1072","coral","Hydnophora microconos",15,NA,"KI15aFSYM036","KI15bFSYM083","KI15cFSYM105","KI16aFSYM154","KI16bFSYM113","KI17FSYM308","alive","Yes","Yes","Yes","Yes"
"396","588","588","coral","Favites pentagona",15,NA,"KI15aFSYM037","KI15bFSYM084","KI15cFSYM104","KI16aFSYM153","KI16bFSYM112","KI17FSYM309","alive","Yes","Yes","Yes","Yes"
